2026-08-08 00:10:49.412  INFO [main] c.d.crawler.worker.CrawlerWorkerApplication : Starting CrawlerWorkerApplication using Java 21.0.11 with PID 11366 (/Users/null/Myself/stock/dunwugudao/爬虫项目/github/crawler-backend-new/crawler-worker/target/classes started by null in /Users/null/Myself/stock/dunwugudao/爬虫项目/github/crawler-backend-new)
2026-08-08 00:10:49.414  INFO [main] c.d.crawler.worker.CrawlerWorkerApplication : No active profile set, falling back to 1 default profile: "default"
2026-08-08 00:10:50.670  INFO [main] o.s.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2026-08-08 00:10:50.683  INFO [main] org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2026-08-08 00:10:50.685  INFO [main] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2026-08-08 00:10:50.685  INFO [main] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-08-08 00:10:50.738  INFO [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2026-08-08 00:10:50.739  INFO [main] o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1273 ms
2026-08-08 00:10:51.379  INFO [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2026-08-08 00:10:51.453  INFO [main] c.clickhouse.client.http.ApacheHttpConnectionImpl : Connection TTL: 0 ms
2026-08-08 00:10:51.453  INFO [main] c.clickhouse.client.http.ApacheHttpConnectionImpl : Connection reuse strategy: LIFO
2026-08-08 00:10:51.722  INFO [main] com.zaxxer.hikari.pool.HikariPool : HikariPool-1 - Added connection com.clickhouse.jdbc.internal.ClickHouseConnectionImpl@4a2e1e52
2026-08-08 00:10:51.725  INFO [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2026-08-08 00:10:51.832  INFO [HikariPool-1 connection adder] c.clickhouse.client.http.ApacheHttpConnectionImpl : Connection TTL: 0 ms
2026-08-08 00:10:51.832  INFO [HikariPool-1 connection adder] c.clickhouse.client.http.ApacheHttpConnectionImpl : Connection reuse strategy: LIFO
2026-08-08 00:10:51.941  INFO [HikariPool-1 connection adder] c.clickhouse.client.http.ApacheHttpConnectionImpl : Connection TTL: 0 ms
2026-08-08 00:10:51.941  INFO [HikariPool-1 connection adder] c.clickhouse.client.http.ApacheHttpConnectionImpl : Connection reuse strategy: LIFO
2026-08-08 00:10:52.041  INFO [HikariPool-1 connection adder] c.clickhouse.client.http.ApacheHttpConnectionImpl : Connection TTL: 0 ms
